code,name,description,unit_code,unit_name,unit_sigla,is_active
63090050,Faldas y vestidos,Faldas y vestidos,6,KILOGRAMO NETO,KN,true
63090060,Conjuntos incluso los de deporte y recreación,Conjuntos incluso los de deporte y recreación,6,KILOGRAMO NETO,KN,true
63090070,Camisas y blusas,Camisas y blusas,6,KILOGRAMO NETO,KN,true
63090080,Ropa interior,Ropa interior,6,KILOGRAMO NETO,KN,true
63090091,Ropa de cama,Ropa de cama,6,KILOGRAMO NETO,KN,true
63090092,Calzado,Calzado,6,KILOGRAMO NETO,KN,true
63090093,"Medias, calcetines y similares","Medias, calcetines y similares",6,KILOGRAMO NETO,KN,true
63090094,"Suéteres, jerseys, pullovers","Suéteres, jerseys, pullovers",6,KILOGRAMO NETO,KN,true
63090099,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
63101000,Clasificados,Clasificados,6,KILOGRAMO NETO,KN,true
63109000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
64011000,Calzado con puntera metálica de protección,Calzado con puntera metálica de protección,17,PAR,2U,true
64019200,Que cubran el tobillo sin cubrir la rodilla,Que cubran el tobillo sin cubrir la rodilla,17,PAR,2U,true
64019910,Utilizado sobre otro calzado,Utilizado sobre otro calzado,17,PAR,2U,true
64019990,Los demás,Los demás,17,PAR,2U,true
64021210,Calzado de esquí,Calzado de esquí,17,PAR,2U,true
64021220,Calzado para la práctica de «snowboard» (tabla para nieve),Calzado para la práctica de «snowboard» (tabla para nieve),17,PAR,2U,true
64021910,"Para golf, caminata, trote o curling","Para golf, caminata, trote o curling",17,PAR,2U,true
64021920,"Para soccer, otro tipo de football, baseball o bowling","Para soccer, otro tipo de football, baseball o bowling",17,PAR,2U,true
64021990,Los demás,Los demás,17,PAR,2U,true
64022010,Con parte superior y suela de caucho,Con parte superior y suela de caucho,17,PAR,2U,true
64022020,Con parte superior y suela de plástico,Con parte superior y suela de plástico,17,PAR,2U,true
64022030,Con parte superior de caucho y suela de plástico,Con parte superior de caucho y suela de plástico,17,PAR,2U,true
